t,sensor,innov_0,innov_1,innov_2,innov_3,innov_4,innov_5,nis,dim,accepted
1.722500,BARO,-0.46618424,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.817378,1,1
1.742500,MAG,0.57887160,1.41557879,0.61831281,0.00000000,0.00000000,0.00000000,3.800910,3,1
1.742500,BARO,0.92636361,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.235683,1,1
1.762500,MAG,0.73886834,-0.28388127,0.65873358,0.00000000,0.00000000,0.00000000,1.612437,3,1
1.762500,BARO,-0.02284048,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.001971,1,1
1.782500,MAG,-0.10003776,0.20211161,0.57608398,0.00000000,0.00000000,0.00000000,0.566592,3,1
1.782500,BARO,-0.33941086,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.436210,1,1
1.802500,MAG,0.27877141,-0.45924685,1.41195764,0.00000000,0.00000000,0.00000000,3.487002,3,1
1.802500,BARO,0.09428909,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.033724,1,1
1.805000,GPS,-1.04265483,-1.07006242,0.39901888,-0.31665325,-0.19368142,-0.24144573,5.269939,6,1
1.822500,MAG,0.24979526,1.04395948,-0.92735379,0.00000000,0.00000000,0.00000000,2.749102,3,1
1.822500,BARO,-0.30333775,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.346544,1,1
1.842500,MAG,-0.80181551,1.97255592,0.65529322,0.00000000,0.00000000,0.00000000,6.667938,3,1
1.842500,BARO,-0.27664652,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.288922,1,1
1.862500,MAG,-0.04406890,-0.26834303,0.93156117,0.00000000,0.00000000,0.00000000,1.404980,3,1
1.862500,BARO,-0.70813106,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.897008,1,1
1.882500,MAG,0.29889146,0.58267846,1.10321760,0.00000000,0.00000000,0.00000000,2.504252,3,1
1.882500,BARO,-0.08778818,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.029210,1,1
1.902500,MAG,1.18166789,-1.65620310,0.66192322,0.00000000,0.00000000,0.00000000,6.576606,3,1
1.902500,BARO,0.30430930,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.351573,1,1
1.905000,GPS,-0.76826370,1.50951910,1.88037266,0.14311556,-0.44940387,-0.22802110,8.487802,6,1
1.922500,MAG,-0.12097898,0.71296397,1.81499791,0.00000000,0.00000000,0.00000000,5.637236,3,1
1.922500,BARO,-0.23155653,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.201939,1,1
1.942500,MAG,1.05795905,0.04425285,0.99790279,0.00000000,0.00000000,0.00000000,3.266704,3,1
1.942500,BARO,-0.48032145,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.870951,1,1
1.962500,MAG,1.41360436,1.03839055,-0.38258831,0.00000000,0.00000000,0.00000000,4.453334,3,1
1.962500,BARO,-0.41179016,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.641496,1,1
1.982500,MAG,1.27546286,0.04802701,3.30144614,0.00000000,0.00000000,0.00000000,19.531816,3,0
1.982500,BARO,0.44497619,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.750465,1,1
2.002500,MAG,0.18215805,-0.21830983,0.01246836,0.00000000,0.00000000,0.00000000,0.113384,3,1
